"UserID";"StockName";"Quantity";"Price"
1;"TCS";175;1169.76
1;"RELIANCE";44;1858.24
1;"AXISBANK";41;3884.11
2;"RELIANCE";49;2854.4
2;"TCS";94;3158.52
2;"INFY";88;2491.09
2;"BAJFINANCE";13;655.16
3;"HINDUNILVR";171;2099.63
3;"INFY";131;1914.45
3;"ICICIBANK";41;601.19
3;"AXISBANK";81;1947.88
4;"ICICIBANK";131;624.88
4;"SBIN";91;3331.97
4;"INFY";129;2097.01
5;"BAJFINANCE";176;988.78
5;"SBIN";197;753.89
5;"HINDUNILVR";149;804.07
5;"ICICIBANK";19;1402.79
5;"KOTAKBANK";96;2659.57
6;"HINDUNILVR";151;3890.29
6;"KOTAKBANK";182;3410.86
6;"AXISBANK";136;3294.26
7;"SBIN";52;1822.51
7;"INFY";51;3823.28
7;"ICICIBANK";76;2743.23
8;"HINDUNILVR";84;1497.69
8;"BAJFINANCE";188;3311.18
8;"RELIANCE";44;1635.84
9;"HDFCBANK";62;1935.24
9;"BAJFINANCE";119;617.35
9;"RELIANCE";67;2001.23
9;"HINDUNILVR";142;3074.31
10;"HINDUNILVR";32;3998.02
10;"KOTAKBANK";95;1313.66
10;"HDFCBANK";120;3825.91
10;"INFY";105;3937.11
11;"ICICIBANK";117;2813.27
11;"AXISBANK";147;794.97
11;"HDFCBANK";39;1188.83
12;"AXISBANK";57;609.1
12;"INFY";105;1046.53
12;"SBIN";180;3644.22
13;"HDFCBANK";17;927.37
13;"ICICIBANK";104;2557.35
13;"BAJFINANCE";96;1717.94
14;"HDFCBANK";44;3499.9
14;"RELIANCE";160;842.52
14;"KOTAKBANK";23;2275.47
15;"SBIN";18;1066.91
15;"ICICIBANK";105;1997.97
16;"AXISBANK";86;815.06
16;"ICICIBANK";69;657.07
17;"INFY";52;901.36
17;"HDFCBANK";78;3359.67
18;"RELIANCE";11;2867.23
18;"TCS";69;2378.51
18;"HINDUNILVR";42;599.41
18;"BAJFINANCE";111;1545.26
18;"KOTAKBANK";14;3001.39
19;"INFY";125;733.41
19;"AXISBANK";27;3037.51
19;"HINDUNILVR";185;3243.44
19;"SBIN";179;2288.14
19;"HDFCBANK";169;1667.7
20;"KOTAKBANK";90;3384.53
20;"BAJFINANCE";122;1259.56
20;"TCS";19;3747.65
20;"RELIANCE";77;2328.3
20;"AXISBANK";19;889.32
21;"BAJFINANCE";83;3077.76
21;"AXISBANK";125;1043.1
21;"RELIANCE";127;3541.17
21;"INFY";35;543.72
22;"RELIANCE";93;3373.0
22;"KOTAKBANK";158;2116.55
22;"HDFCBANK";93;3333.87
22;"HINDUNILVR";119;644.94
23;"TCS";185;2876.67
23;"KOTAKBANK";102;3241.26
23;"INFY";66;2044.68
23;"ICICIBANK";187;943.07
24;"HINDUNILVR";124;3664.4
24;"TCS";81;3889.8
24;"ICICIBANK";82;1425.06
24;"AXISBANK";125;3110.69
24;"KOTAKBANK";31;3132.26
25;"INFY";200;786.76
25;"ICICIBANK";164;1656.78
25;"TCS";135;3120.72
25;"KOTAKBANK";89;3539.08
26;"TCS";66;2811.58
26;"ICICIBANK";104;3075.07
27;"HINDUNILVR";149;2010.87
27;"TCS";174;3689.71
28;"RELIANCE";10;1992.7
28;"AXISBANK";38;2111.47
28;"INFY";34;2352.27
29;"SBIN";77;2987.09
29;"RELIANCE";138;3357.97
29;"AXISBANK";75;1111.5
30;"KOTAKBANK";16;1281.13
30;"ICICIBANK";154;2595.02
30;"RELIANCE";191;3726.41
31;"ICICIBANK";197;789.31
31;"HINDUNILVR";60;1756.2
31;"INFY";90;3505.22
32;"ICICIBANK";61;2962.49
32;"HINDUNILVR";32;2948.21
32;"HDFCBANK";102;2266.27
33;"BAJFINANCE";149;1892.14
33;"SBIN";190;3564.38
33;"HDFCBANK";53;2745.08
34;"KOTAKBANK";193;1866.96
34;"HINDUNILVR";54;2491.35
34;"AXISBANK";111;3864.95
34;"TCS";105;2345.94
35;"HDFCBANK";160;3860.01
35;"SBIN";114;1017.09
35;"HINDUNILVR";96;2866.02
35;"ICICIBANK";68;1883.25
35;"AXISBANK";131;3151.33
36;"ICICIBANK";165;755.61
36;"SBIN";102;3036.86
36;"RELIANCE";190;549.92
36;"TCS";47;3680.57
37;"TCS";71;3502.96
37;"HDFCBANK";165;2057.25
37;"INFY";123;1204.11
37;"ICICIBANK";31;3341.8
38;"SBIN";39;2285.0
38;"HINDUNILVR";93;3790.86
39;"ICICIBANK";182;1568.81
39;"RELIANCE";163;1116.77
39;"BAJFINANCE";26;886.79
40;"ICICIBANK";43;869.44
40;"HDFCBANK";18;2927.25
40;"TCS";93;2155.93
40;"SBIN";191;2173.24
41;"HDFCBANK";118;781.01
41;"TCS";80;1634.66
41;"INFY";185;822.74
42;"TCS";94;1066.58
42;"BAJFINANCE";34;1727.67
43;"TCS";95;1272.31
43;"HDFCBANK";41;3606.76
43;"HINDUNILVR";118;564.37
43;"SBIN";91;865.29
44;"RELIANCE";140;1063.31
44;"TCS";87;2519.84
45;"BAJFINANCE";135;3050.59
45;"HINDUNILVR";82;3723.53
45;"TCS";141;1532.3
46;"TCS";81;2754.5
46;"RELIANCE";125;2124.78
46;"HINDUNILVR";32;854.14
46;"INFY";81;1960.75
46;"AXISBANK";136;1358.57
47;"KOTAKBANK";152;3496.36
47;"AXISBANK";199;1828.26
47;"TCS";111;1142.54
48;"HDFCBANK";141;3445.56
48;"AXISBANK";11;2428.25
48;"BAJFINANCE";76;2054.3
49;"BAJFINANCE";197;3287.0
49;"HDFCBANK";70;1553.69
49;"ICICIBANK";166;1889.53
49;"AXISBANK";35;1629.19
50;"TCS";81;3765.41
50;"KOTAKBANK";167;2412.24
50;"HINDUNILVR";51;1653.93
51;"HINDUNILVR";35;3678.86
51;"KOTAKBANK";143;2117.84
51;"INFY";10;1260.69
51;"AXISBANK";123;1389.74
52;"TCS";132;1713.78
52;"ICICIBANK";25;2457.04
52;"INFY";195;3365.56
52;"AXISBANK";117;527.05
52;"BAJFINANCE";167;1829.0
53;"SBIN";50;2112.07
53;"HDFCBANK";197;1873.76
53;"ICICIBANK";39;1960.75
53;"TCS";166;726.01
53;"RELIANCE";83;3078.08
54;"RELIANCE";94;3780.84
54;"KOTAKBANK";43;2741.05
54;"ICICIBANK";109;2350.51
54;"INFY";104;1514.9
55;"ICICIBANK";35;2322.82
55;"HINDUNILVR";84;3611.34
55;"INFY";27;3323.05
56;"BAJFINANCE";87;666.18
56;"HINDUNILVR";12;1395.99
57;"ICICIBANK";188;3861.17
57;"SBIN";167;2404.07
57;"AXISBANK";100;966.91
58;"AXISBANK";35;2730.77
58;"HDFCBANK";118;1766.8
58;"ICICIBANK";161;2321.33
58;"INFY";27;3948.76
59;"ICICIBANK";82;1395.9
59;"TCS";146;1077.28
59;"KOTAKBANK";125;3462.22
59;"RELIANCE";91;2223.14
59;"SBIN";91;1673.19
60;"HINDUNILVR";102;2097.61
60;"HDFCBANK";129;1013.57
61;"BAJFINANCE";178;3923.13
61;"RELIANCE";44;2327.21
61;"ICICIBANK";194;699.24
62;"AXISBANK";45;1314.09
62;"HINDUNILVR";105;1560.31
62;"ICICIBANK";153;1174.96
62;"KOTAKBANK";138;3421.36
62;"HDFCBANK";16;2632.53
63;"HINDUNILVR";161;1729.46
63;"RELIANCE";154;2039.81
63;"BAJFINANCE";66;1202.57
63;"TCS";145;1863.25
63;"INFY";159;1058.15
64;"HINDUNILVR";189;2326.42
64;"AXISBANK";81;2879.81
65;"BAJFINANCE";36;1218.21
65;"RELIANCE";162;3273.55
65;"INFY";129;2420.1
66;"HDFCBANK";109;3233.57
66;"RELIANCE";191;1397.88
67;"HINDUNILVR";33;1785.83
67;"TCS";35;1652.13
67;"RELIANCE";52;2734.0
67;"ICICIBANK";175;3175.92
68;"AXISBANK";179;1007.87
68;"KOTAKBANK";87;3135.69
68;"RELIANCE";26;1794.69
68;"BAJFINANCE";12;1382.69
68;"SBIN";59;2754.99
69;"ICICIBANK";20;2518.13
69;"AXISBANK";142;1755.93
69;"SBIN";132;3202.24
70;"HINDUNILVR";108;3995.73
70;"RELIANCE";10;2430.36
71;"HDFCBANK";187;781.6
71;"RELIANCE";171;2220.99
71;"BAJFINANCE";113;3157.61
72;"AXISBANK";114;3242.04
72;"INFY";198;3888.26
72;"BAJFINANCE";100;1200.71
73;"HINDUNILVR";153;1943.84
73;"HDFCBANK";66;2784.83
74;"TCS";106;540.26
74;"BAJFINANCE";142;1516.8
75;"HINDUNILVR";46;758.72
75;"HDFCBANK";196;2858.23
76;"HINDUNILVR";117;1989.62
76;"TCS";125;1681.57
76;"BAJFINANCE";141;2011.71
76;"AXISBANK";165;1388.29
77;"ICICIBANK";19;3375.9
77;"TCS";180;1336.81
77;"RELIANCE";46;1798.47
77;"BAJFINANCE";145;2742.96
77;"SBIN";64;2456.99
78;"ICICIBANK";82;1678.37
78;"RELIANCE";97;2197.66
79;"TCS";16;3105.06
79;"AXISBANK";53;2727.9
79;"BAJFINANCE";71;905.4
80;"AXISBANK";31;2004.21
80;"INFY";188;3465.52
80;"SBIN";100;1924.68
80;"ICICIBANK";75;575.06
81;"INFY";156;1024.35
81;"HDFCBANK";47;1296.05
82;"TCS";43;589.45
82;"SBIN";67;803.07
82;"KOTAKBANK";198;580.38
82;"HDFCBANK";197;2480.23
82;"INFY";71;3000.03
83;"KOTAKBANK";134;1550.2
83;"SBIN";36;3349.03
83;"AXISBANK";167;2697.38
83;"INFY";124;990.41
84;"SBIN";179;2940.37
84;"HDFCBANK";11;1307.79
84;"KOTAKBANK";50;3618.73
84;"ICICIBANK";181;2354.94
85;"TCS";25;2171.46
85;"ICICIBANK";25;3424.61
86;"SBIN";74;1619.36
86;"RELIANCE";142;1357.7
86;"TCS";163;925.05
86;"ICICIBANK";170;3590.32
87;"HDFCBANK";127;3798.91
87;"AXISBANK";137;3781.93
88;"AXISBANK";101;500.54
88;"HDFCBANK";45;2233.67
88;"RELIANCE";53;813.97
89;"KOTAKBANK";80;3961.56
89;"ICICIBANK";142;3567.47
89;"TCS";150;3480.04
89;"INFY";153;2372.92
89;"RELIANCE";63;2859.05
90;"INFY";161;3037.69
90;"SBIN";182;3368.91
90;"RELIANCE";163;1490.15
90;"KOTAKBANK";152;2935.81
90;"HINDUNILVR";39;983.11
91;"RELIANCE";45;1704.91
91;"ICICIBANK";13;2053.67
91;"KOTAKBANK";145;1262.73
91;"BAJFINANCE";126;1499.95
92;"TCS";54;2931.02
92;"SBIN";28;3023.66
92;"INFY";12;1253.54
92;"HINDUNILVR";108;3105.01
92;"ICICIBANK";126;852.74
93;"RELIANCE";38;2143.43
93;"TCS";62;2509.67
93;"HDFCBANK";22;2335.88
94;"HDFCBANK";109;880.61
94;"AXISBANK";112;3347.81
95;"BAJFINANCE";42;3614.43
95;"HDFCBANK";32;2076.32
95;"AXISBANK";85;2284.22
96;"KOTAKBANK";22;2164.74
96;"BAJFINANCE";84;605.86
96;"RELIANCE";100;3738.99
97;"TCS";84;3241.1
97;"SBIN";152;2939.24
97;"INFY";60;643.22
97;"HDFCBANK";147;2341.13
98;"BAJFINANCE";100;1396.85
